title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Ariel,movie,"Comedy, Crime, Romance",1988,7.4,9037
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,7.5,7830
American Beauty,movie,Drama,1999,8.3,1242985
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6,523604
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,8.2,1241360
Jarhead,movie,"Biography, Drama, War",2005,7,214418
Unforgiven,movie,"Drama, Western",1992,8.2,451112
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3,1127384
Amores Perros,movie,"Drama, Thriller",2000,8,260258
A History of Violence,movie,"Action, Crime, Drama",2005,7.4,262591
Talk to Her,movie,"Drama, Mystery, Romance",2002,7.9,119635
8 Mile,movie,"Drama, Music",2002,7.2,335459
Paradise Now,movie,"Crime, Drama, Thriller",2005,7.4,24452
Million Dollar Baby,movie,"Drama, Sport",2004,8.1,742350
American History X,movie,"Crime, Drama",1998,8.5,1224266
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4,250951
Before Sunrise,movie,"Drama, Romance",1995,8.1,355856
Memento,movie,"Mystery, Thriller",2000,8.4,1369255
Hero,movie,"Action, Adventure, Drama",2002,7.9,190273
Before Sunset,movie,"Drama, Romance",2004,8.1,299846
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,8,189362
Open Water,movie,"Adventure, Drama, Horror",2003,5.8,57710
Raiders of the Lost Ark,movie,"Action, Adventure",1981,8.4,1067784
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,7.5,549425
Dirty Dancing,movie,"Drama, Music, Romance",1987,7.1,267541
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,8.2,833789
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,7.4,222617
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,6.6,142684
Gladiator,movie,"Action, Adventure, Drama",2000,8.5,1741475
